subd_name,visual_category,visual_color
Atmospheric GeoPhysics,Earth Sciences,#FF0055
Air Quality,Earth Sciences,#FF0055
Climatology,Earth Sciences,#FF0055
Geology (International),Earth Sciences,#FF0055
Sedimentary Geology,Earth Sciences,#FF0055
Geodesy,Earth Sciences,#FF0055
Water Resource,Earth Sciences,#FF0055
Mineralogy,Earth Sciences,#FF0055
Paleogeography,Earth Sciences,#FF0055
Archeological Science,Earth Sciences,#FF0055
Glaciology,Earth Sciences,#FF0055
Geographic Information Science,Earth Sciences,#FF0055
GIS (non English),Earth Sciences,#FF0055
Classics,Arts & Humanities,#FFEF00
Philosophy Psychology,Arts & Humanities,#FFEF00
Music & Theatre,Arts & Humanities,#FFEF00
American History,Arts & Humanities,#FFEF00
Science History,Arts & Humanities,#FFEF00
Poetry,Arts & Humanities,#FFEF00
English Literature,Arts & Humanities,#FFEF00
Modern Language,Arts & Humanities,#FFEF00
Linguistics,Arts & Humanities,#FFEF00
Hispanic Studies,Arts & Humanities,#FFEF00
Art History,Arts & Humanities,#FFEF00
Biblical Literature,Arts & Humanities,#FFEF00
Contemporary Philosophy,Arts & Humanities,#FFEF00
Literary Criticism,Arts & Humanities,#FFEF00
German Studies,Arts & Humanities,#FFEF00
Medieval History,Arts & Humanities,#FFEF00
Philosophy of Education,Arts & Humanities,#FFEF00
Asian Studies,Arts & Humanities,#FFEF00
Ethics,Arts & Humanities,#FFEF00
Critical Studies,Arts & Humanities,#FFEF00
Semiotics,Arts & Humanities,#FFEF00
Cross Disciplinary Studies,Arts & Humanities,#FFEF00
Social History,Arts & Humanities,#FFEF00
Opera,Arts & Humanities,#FFEF00
Socio-Cultural Anthropology,Arts & Humanities,#FFEF00
Italian Studies,Arts & Humanities,#FFEF00
